ID;Art;From;To;Length;Source;Target;ToblerSum;Weight
538619;land;NULL;NULL;11927;16696;7102;724.1293218;13.80968799
538621;land;NULL;NULL;203;5199;16699;12.05024388;829.8587233
538623;land;NULL;NULL;62258;3454;16699;3748.927851;2.667429302
538625;land;NULL;NULL;276;2484;16768;16.39094285;610.0930307
538627;land;NULL;NULL;25737;8160;12435;1550.374085;6.450056213
538629;land;NULL;NULL;723;16767;957;44.25424777;225.9670089
538631;land;NULL;NULL;19421;7273;8160;1173.922096;8.518452831
538633;land;NULL;NULL;11580;16767;7273;699.1972541;14.30211566
538635;land;NULL;NULL;8487;16768;16767;511.3508864;19.55604315
538637;land;NULL;NULL;276;12457;2484;16.4098091;609.3916109
538639;land;NULL;NULL;714;16769;3649;43.56632748;229.5350694
538641;land;NULL;NULL;6831;2071;16769;414.8658963;24.1041746
538643;land;NULL;NULL;523;8820;13006;31.85910219;313.8820404
538645;land;NULL;NULL;12714;475;2071;768.7968115;13.00733802
538647;land;NULL;NULL;14604;8820;12457;874.4790101;11.43538025
538649;land;NULL;NULL;7401;13006;475;443.3224906;22.55694266
538651;land;NULL;NULL;30291;16768;3610;1818.915119;5.497782658
538653;land;NULL;NULL;16679;3610;13528;1004.445914;9.955737642
538655;land;NULL;NULL;498;4969;16782;29.44538553;339.611787
538657;land;NULL;NULL;17865;12457;2101;1070.505633;9.341380085
538659;land;NULL;NULL;13080;12530;2101;784.6727588;12.74416614
538661;land;NULL;NULL;817;16775;263;48.67801789;205.4315363
538663;land;NULL;NULL;8170;2101;16775;493.6830649;20.25591055
538665;land;NULL;NULL;14160;12457;263;848.7336905;11.78225881
538667;land;NULL;NULL;15946;263;13006;965.9931356;10.35204044
538669;land;NULL;NULL;19461;13007;16775;1170.008975;8.546942986
538671;land;NULL;NULL;3882;2564;13007;236.3149036;42.31641698
538673;land;NULL;NULL;9308;4969;13007;561.9538836;17.79505453
538675;land;NULL;NULL;11848;3371;5981;713.0077987;14.02509204
538677;land;NULL;NULL;26909;13007;5981;1628.114458;6.14207432
538679;land;NULL;NULL;853;12846;13528;51.19109833;195.3464631
538681;land;NULL;NULL;11487;12846;480;690.6998132;14.47806965
538683;land;NULL;NULL;7271;480;12302;436.7934288;22.89411731
538685;land;NULL;NULL;282;6732;12302;17.22142343;580.6720936
538687;land;NULL;NULL;1040;8592;12532;61.94576492;161.4315363
538689;land;NULL;NULL;17091;12302;3505;1028.381682;9.724016073
538691;land;NULL;NULL;11976;12532;3505;721.2876324;13.86409464
538693;land;NULL;NULL;11612;12532;12530;697.7704656;14.33136037
538695;land;NULL;NULL;834;1620;16776;49.7939675;200.82754
538697;land;NULL;NULL;4884;16776;5091;294.4990988;33.9559613
538699;land;NULL;NULL;14508;8717;16776;868.3395871;11.51623184
538701;land;NULL;NULL;1242;8717;16505;75.52475341;132.4069202
538703;land;NULL;NULL;16804;16505;6759;1009.63995;9.904520909
538705;land;NULL;NULL;9509;13008;5091;570.4943021;17.52865885
538707;ferry;NULL;NULL;1091;16778;16777;66.84800134;448.7793113
538709;land;NULL;NULL;11482;12846;16777;693.02761;14.42943954
538711;land;NULL;NULL;15846;3597;668;953.2633638;10.49028042
538713;land;NULL;NULL;4999;16778;668;301.5266228;33.16456739
538715;land;NULL;NULL;19390;4969;599;1166.912161;8.569625322
538717;land;NULL;NULL;11844;599;12535;723.8916719;13.81422164
538719;land;NULL;NULL;4303;12535;8800;255.3108279;39.16794318
538721;land;NULL;NULL;14094;8800;7169;852.1731118;11.73470491
538723;land;NULL;NULL;12161;7169;16781;733.5498213;13.63233922
538725;land;NULL;NULL;435;7839;16779;26.60853208;375.8193038
538727;land;NULL;NULL;10712;3597;6239;643.1638486;15.54813757
538729;land;NULL;NULL;1112;6099;16780;66.62349997;150.097188
538731;land;NULL;NULL;23486;16779;6239;1403.788022;7.123582649
538733;land;NULL;NULL;2101;16781;6099;126.6334182;78.9680966
538735;land;NULL;NULL;8275;16780;16779;498.94917;20.04212172
538737;land;NULL;NULL;2612;16780;16781;158.3644328;63.14549184
538739;land;NULL;NULL;992;16782;12530;59.1928278;168.9393863
538741;water;NULL;NULL;67036;16782;16783;4032.090311;7.440309539
538743;water;NULL;NULL;10660;16784;16783;641.5281989;46.763338
538745;water;NULL;NULL;11172;12304;16784;671.3615669;44.68531039
538747;land;NULL;NULL;19364;2660;1470;1171.885742;8.533255114
538749;land;NULL;NULL;11930;2564;2660;723.6492928;13.81884858
538751;land;NULL;NULL;2031;12535;1470;120.3983164;83.0576398
538753;land;NULL;NULL;15093;3546;8455;912.6446986;10.95716659
538755;land;NULL;NULL;14987;8455;7839;903.205114;11.07168222
538757;land;NULL;NULL;8677;8248;8680;525.550027;19.0276843
538759;land;NULL;NULL;13872;8680;3546;835.5996755;11.96745319
538761;land;NULL;NULL;954;16786;2395;56.31312932;177.5784816
538763;land;NULL;NULL;1219;16785;2395;73.7157621;135.6561977
538765;land;NULL;NULL;10931;13010;16785;658.1440432;15.19424221
538767;land;NULL;NULL;336;2274;13010;19.95031017;501.2453397
538769;land;NULL;NULL;11593;6511;16786;697.2338642;14.34239
538771;land;NULL;NULL;12650;6511;8248;765.8376267;13.05759818
538773;land;NULL;NULL;1357;16785;16786;83.59606119;119.6228609
538775;water;NULL;NULL;42916;16787;16789;2584.44493;11.60790839
538777;water;NULL;NULL;35188;16789;16621;2124.850714;14.11863893
538779;land;NULL;NULL;926;2661;16790;58.54286506;170.8150086
538781;land;NULL;NULL;14147;2274;16790;871.5672432;11.47358403
538783;land;NULL;NULL;15836;4159;2844;953.4837424;10.4878558
538785;land;NULL;NULL;8656;4159;16790;530.3400819;18.85582542
538787;land;NULL;NULL;817;8311;12574;49.60725399;201.5834217
538789;land;NULL;NULL;642;337;12573;39.15313148;255.4074124
538791;land;NULL;NULL;1021;4306;12575;60.37557609;165.6298896
538793;land;NULL;NULL;12114;12575;12574;727.7688044;13.74062744
538795;land;NULL;NULL;3165;12574;16823;191.0959293;52.32973846
538797;land;NULL;NULL;14395;12573;8470;864.5685479;11.56646286
538799;land;NULL;NULL;610;12834;3656;37.5623362;266.2241227
538801;land;NULL;NULL;9165;2274;12834;555.0034171;18.01790708
538803;land;NULL;NULL;9460;12575;12834;575.1386494;17.3871118
538805;land;NULL;NULL;9596;16823;16822;576.3838343;17.34954974
538807;land;NULL;NULL;1429;16822;12573;86.37706002;115.7714791
538809;land;NULL;NULL;5736;16823;10262;342.278416;29.21598188
538811;land;NULL;NULL;7178;10262;16822;431.247707;23.18852909
